[2026-05-27 16:20:49] [INFO] === KCDW 모니터링 시스템 기동 ===
[2026-05-27 16:20:49] [WARNING] 포트 8502를 점유 중인 서버 프로세스가 없습니다! (자동 복구 가동)
[2026-05-27 16:20:49] [INFO] 자체 서명 SSL 인증서가 존재하지 않아 자동 생성을 시작합니다...
[2026-05-27 16:20:49] [INFO] SSL 인증서(private.key / cert.crt) 자동 생성 완료
[2026-05-27 16:20:49] [INFO] Uvicorn HTTPS 서버를 포트 8502로 기동합니다...
[2026-05-27 16:20:49] [INFO] Uvicorn HTTPS 서버 백그라운드 기동 완료
[2026-05-27 16:32:51] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.90 MB
[2026-05-27 16:33:01] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.90 MB
[2026-05-27 16:33:11] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.90 MB
[2026-05-27 16:33:21] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.90 MB
[2026-05-27 16:33:31] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.90 MB
[2026-05-27 16:33:42] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.90 MB
[2026-05-27 16:33:52] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:34:02] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:34:12] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:34:22] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:34:32] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:34:43] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:34:53] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:35:03] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:35:13] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:35:23] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:35:33] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:35:43] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:35:54] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:36:04] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:36:14] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:36:24] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:36:34] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:36:44] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:36:55] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:37:05] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:37:15] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:37:25] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:37:35] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:37:45] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:37:55] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:38:06] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:38:16] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:38:26] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:38:36] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:38:46] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:38:56] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:39:07] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:39:17] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:39:27] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:39:37] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:39:47] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:39:57] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:40:07] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:40:18] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
